extension,size_kb,has_password,has_bank,has_email,has_phone,has_nic,has_card,has_secret,has_confidential,has_api_key,has_token,has_passport,has_internal,has_project,has_student,has_report,has_invoice,has_salary,has_medical,risk
txt,8355,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,High
jpg,1168,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
other,4935,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Medium
txt,7341,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,High
docx,235,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,High
csv,442,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Medium
csv,1582,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
txt,5149,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
other,9489,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,High
txt,5944,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
other,1401,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
docx,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,473,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,Medium
txt,6647,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
other,10904,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,High
other,11898,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,High
docx,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,6173,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,High
txt,689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
png,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low
png,412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low
png,11973,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,High
docx,6688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Medium
docx,990,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,Medium
png,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,3464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,High
jpg,704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
other,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,4022,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Medium
png,2406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Medium
docx,1509,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,11247,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,High
docx,1030,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low
jpg,1235,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Medium
other,4999,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,High
other,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,605,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,High
log,7222,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High
txt,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,7859,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,High
xlsx,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
txt,4450,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,High
txt,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
json,11407,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,High
docx,5916,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,High
xlsx,5207,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,Medium
jpg,4045,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,High
png,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,5363,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Medium
pdf,1517,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
txt,800,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,High
jpg,1728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
pdf,7976,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,High
txt,2301,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Medium
other,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,9016,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,High
txt,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,6811,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,High
json,3107,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,High
xlsx,3313,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
pdf,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,1475,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,High
txt,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,11976,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,High
json,4721,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,High
xlsx,5190,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,High
jpg,117,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,High
pdf,5580,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Medium
jpg,681,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,High
pdf,6023,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,High
txt,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
